"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9"
"Denmark",3.09395425830952,0.408081011452982,-0.0920269334261354,0.419779088580359,0.466906558557955,0.109458134096988,-0.219934034734542,-0.279957849762417,-6.58672309108987e-06
"Finland",2.7399286547673,-0.694852025449198,-0.0642498600446943,1.008861261682,-0.0837716439154625,-0.374527125571029,1.04734649623826,-0.0923658147569146,0.000216565018097525
"Germany",2.41727780442104,0.259498620177918,0.491081041531403,0.130371118192696,0.454229143646609,-0.224566208403901,0.0505730333290386,0.676576274021951,0.000194039718766234
"Austria",2.75355247811454,0.533052716014372,-0.870040970625599,0.44162916248329,0.848730706627599,-0.565969867087665,-0.058173160710392,-0.116348764542738,-8.74414533855727e-05
"Netherlands",2.53669915260396,0.0794028740605285,0.459995653739063,-0.45049846512433,0.980152898530959,-0.250136307295389,0.27341936529864,-0.154564037972153,-0.000232657966258334
"Switzerland",3.82363161476686,-0.142751373715494,-0.643917201992583,0.0607447940601485,-1.28177871375634,0.83857792453081,-1.13462074276678,-0.595246952527377,0.000265569559554688
"New Zealand",2.08500017645344,0.925864617682236,0.860770959338539,-0.625985156994907,-0.245534575171826,0.321746105819501,0.495839210976365,-0.108623654155069,6.43375725910278e-05
"Australia",2.15782099331406,-0.0653766776465302,1.10719742341132,-0.754044679847679,-0.26769085308076,0.0816439740025474,0.344806276830147,0.390374341671556,-0.00017365530500596
"United States",1.57081018495471,-0.142240476602905,2.37113160429367,0.463009207961596,-0.383234808666925,0.0788011015502759,0.171157339689232,0.371635054768903,-3.37099309833575e-05
"Slovenia",1.11708859322739,1.4799534119797,-0.538206099598766,1.41713332751032,0.457425564266293,-0.221701400778876,0.325035259828151,-0.0654971227336429,-4.58620571775099e-06
"Spain",1.12151957601699,0.680187007650936,0.133022129559391,-0.31000952516747,1.22174075289884,-0.0572296304953227,0.151661527990258,0.0732920486723939,-2.65918465326698e-05
"Sweden",1.47524705156063,0.536951067511937,0.149587549975638,-0.171157809035428,-1.39040487376088,-0.974852027756956,-0.040342948440124,0.579877316488386,1.03732774572041e-05
"Portugal",0.392451645895495,1.77021839678466,-0.20765612699447,-0.348600759030877,0.664076683582276,-0.110597651883773,0.617537596598481,-0.0754806529075178,5.22287874887561e-05
"Norway",2.27941880749003,0.1138469751082,0.517049675695895,-0.291818503210651,-1.40718227059209,-0.753675401846566,-0.446840502640634,-0.730099428373866,8.65934809470004e-06
"Canada",1.06332358409135,-0.939533769818531,0.93732048312208,1.00056613726206,-0.559438814827566,-0.529408223402977,0.654922723372821,-0.0522125331657081,0.00014118633767124
"United Kingdom",0.921009275557297,-0.0154705976219581,0.147099642360246,-0.994733504204958,-0.178521227653458,-0.0185400994437063,-0.0250759557508533,0.500139630776057,-0.000289916287469633
"Japan",1.206421681068,-2.03050180559373,-1.0538903303749,-1.6894889627594,0.382157035557649,0.933702399660552,0.725423459007588,-0.206984231332149,-0.00023151893284544
"Croatia",0.149363858354735,1.67425540324326,-0.964723041571189,0.420926091891505,0.421189656402701,-0.00910353464571534,0.433030202584342,-0.0580807163815384,0.000313821676720533
"France",0.977608745571872,0.00225714818286032,0.652505880696007,-1.2629354352797,0.07775288556187,-0.282197856540849,-0.370541978329858,0.0761719479771791,-0.000201676200423689
"Czech Republic",0.155811051923832,0.457267311674323,-0.904756699461724,0.00734445598641062,1.03815457247998,-0.705085803990739,0.163948579462153,0.25204979979372,0.000219601506161651
"Ireland",0.330123393157315,0.877495862198886,1.17083522417618,0.196674980442246,-1.52629276306922,1.44231078332138,0.58448432247043,0.0135257471788734,-0.000261538168240261
"Taiwan",0.582995529814916,-1.52476635484611,-1.4236283419694,-0.692102546850985,1.38604276309699,0.0877459422791435,-0.84046464013829,0.503168524584401,2.50994112400531e-05
"Belgium",0.620297906591549,-0.181312372733768,0.860412317960608,-1.03479707852041,0.528036139449006,-0.296661572274909,-0.662143498988632,-0.5745195490605,0.000190163165339013
"Slovakia",-0.699279603629166,0.726716485963222,-0.490176002986013,0.598844864120727,0.360193598988258,0.203931802111967,0.505537820184836,-0.107270280816508,-0.000215621768908462
