"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9"
"Denmark",0.93113720404866,0.0161986445582102,0.000823788647942058,0.0171406585079678,0.0212053698189746,0.0011654187021132,0.00470512087606187,0.00762379483585055,4.22011915854589e-12
"Finland",0.731360910415966,0.047036813349744,0.000402158829190481,0.099155344660848,0.000683671241757988,0.0136653195226704,0.106864634381398,0.000831143029334085,4.56909142360872e-09
"Germany",0.848592090279039,0.00977948436202947,0.035022906703005,0.00246836074824349,0.0299637276865209,0.00732376943454922,0.000371435882845133,0.0664782194357847,5.46798259752684e-09
"Austria",0.767741167566618,0.0287718928459276,0.0766491815067936,0.0197489313800566,0.0729403668406958,0.0324350619736192,0.000342667909362303,0.00137072920270933,7.74217258543443e-10
"Netherlands",0.806612993514816,0.000790314101006418,0.0265237388084543,0.02543981315702,0.120424525320906,0.00784297362161704,0.00937099762143277,0.00299463706953925,6.78520761667528e-09
"Switzerland",0.767595014325775,0.00106989374888644,0.0217690818427859,0.000193730583132061,0.086259347324859,0.0369204434400393,0.0675898520024652,0.018602633029203,3.70285447466925e-09
"New Zealand",0.643204566339626,0.126832894032913,0.109625639428174,0.0579782360389911,0.00891994629308947,0.0153166407194082,0.0363763116891848,0.00174576484617003,6.12443837924818e-10
"Australia",0.684276906057447,0.000628125967656023,0.180157019355367,0.0835593812326407,0.0105309637660874,0.000979601240785159,0.0174723524333224,0.0223956455149245,4.43176951047811e-09
"United States",0.28542511606135,0.00234040580641087,0.65036339223737,0.0247984208057345,0.0169892679651262,0.00071830575542247,0.00338872108165386,0.0159763701554824,1.31449971413857e-10
"Slovenia",0.204423867100535,0.35880001606429,0.0474518988578817,0.328986281569708,0.0342765600487391,0.00805180483274659,0.0173068215955268,0.000702749927126661,3.44558864968539e-12
"Spain",0.37450757901001,0.137753790599917,0.00526859343466698,0.0286152121307059,0.444431686584977,0.000975188963762464,0.00684853608384545,0.00159941298157111,2.10544492444912e-10
"Sweden",0.379301816782235,0.0502487002362349,0.00389983569915725,0.00510562424592834,0.336928675801506,0.165627638967552,0.000283655156307173,0.0586040530923261,1.87537188431838e-11
"Portugal",0.0358798318524766,0.730015008710767,0.0100454081928272,0.0283096660473049,0.102734084102304,0.00284950814356005,0.0888392525477353,0.00132723976755118,6.35474278589994e-10
"Norway",0.587614292878824,0.00146584175370239,0.0302349069473422,0.00963096372984863,0.223946771370016,0.0642410718652255,0.0225813113871831,0.0602848400593784,8.48036397293279e-12
"Canada",0.22990283482717,0.179489159027798,0.178644499557235,0.203565902462854,0.0636383079434663,0.0569894938034917,0.0872154752443541,0.000554323080423742,4.05320695587855e-09
"United Kingdom",0.395898957711058,0.00011170446465618,0.0100990281788348,0.461816921742326,0.014874284356476,0.000160428110622669,0.00029347515450454,0.116745161053032,3.92284889378242e-08
"Japan",0.13076408782045,0.370422178634339,0.0997886302421309,0.256448958435557,0.0131212116383873,0.0783262206281387,0.0472795586031093,0.00384914918214482,4.81574237417714e-09
"Croatia",0.00518624129115597,0.651636030464848,0.216355018727439,0.0411882523935013,0.0412398489113081,1.92655658754344e-05,0.0435911219871031,0.000784197764459721,2.28943094165477e-08
"France",0.298170302555349,1.58947745823775e-06,0.132832115728777,0.497618511107313,0.00188611105638048,0.0248451516130729,0.0428360149688233,0.00181019080335487,1.2689471397618e-08
"Czech Republic",0.00893417402543264,0.0769481532479979,0.301246148917908,1.98507606788829e-05,0.39662668549071,0.182953966693237,0.00989175166065451,0.0233792514562341,1.7747145804174e-08
"Ireland",0.0154799870453584,0.109372501896373,0.194719547365265,0.00549434876312309,0.330897649546057,0.295485172793457,0.0485247968091961,2.59860651556406e-05,9.71601435166904e-09
"Taiwan",0.0421749965231118,0.288490294229108,0.251488341514765,0.059438179708312,0.238384418453805,0.000955385597812469,0.0876523368641781,0.0314160470307357,7.81720812096844e-11
"Belgium",0.114375333915588,0.00977207129016648,0.220061962951098,0.318304026092404,0.0828817740536802,0.026160999483028,0.130327475509958,0.0981163459546701,1.07494078134972e-08
"Slovakia",0.238021840779579,0.257066279726148,0.116955104076019,0.174559603174607,0.0631519941501541,0.0202434720101651,0.124400575765348,0.00560110768715907,2.26308203231531e-08
"South Korea",0.0529968423467954,0.423627629076165,0.243845681029523,0.118053565666812,0.00837115535411923,0.0571278107442566,0.0951944913522695,0.00078281577719126,8.65286824416819e-09
"Israel",0.0338217402582806,0.0904547184477927,0.130284111949307,0.29735561865611,0.0089245015516443,0.115766166734786,0.315967483540573,0.00742565869984597,1.61660144522614e-10
"Poland",0.442553195186684,0.0645627163721483,0.0661139527528425,0.218938780637373,0.119497001679275,0.0498814528393221,0.0202367481814288,0.018216151977682,3.73244510904774e-10
"United Arab Emirates",3.65858560791574e-05,0.447882675434656,0.00677857013434732,0.524214091760315,9.58252318932283e-05,0.00503613174947367,0.00213494824102613,0.0138211710354391,5.56770550663435e-10
"Saudi Arabia",0.0204559616382032,0.272592291703934,0.103726036663862,0.527201353487497,0.0180209190240364,0.0106319428287522,0.0391805745538812,0.00819091990167917,1.98154685897004e-10
"Lithuania",0.0720076800599949,0.252587739076158,0.302071064693018,0.0627890341083987,0.0295837778535164,0.279639698948259,0.000940917440776513,0.000380087322021831,4.97856055076878e-10
"Romania",0.353363986043393,0.149248449925419,0.0215325172037163,0.357165618183517,0.0192811060501124,0.0853277147718854,0.0123452511844883,0.00173535013685461,6.50061416580775e-09
"Singapore",0.000290349685064734,0.33266136757388,0.470281788686983,0.0148827863556864,0.125948469995266,0.0133673068968444,0.0349137774592469,0.00765415237800083,9.69027160744155e-10
"Italy",0.253646738871367,0.0464882556756048,0.0219726807592037,0.361496799686193,0.0812191008696487,0.0908497779088058,0.104248252547239,0.0400783767130625,1.69688757547692e-08
"Greece",0.321651117971445,0.464737422311718,0.00124678345274278,0.0360575489890694,0.00845524467640566,0.107942097874123,0.0288545905772177,0.0310551937541873,3.93091180977927e-10
"South Africa",0.272624935669549,1.28851567360738e-05,0.630950409693366,0.0635779065303737,0.00967799219252543,0.00534957784165943,0.000749133746211014,0.0170571570070654,2.1625136027082e-09
"Hungary",0.541443770831318,0.217100042077862,0.0934364767556325,0.0522043946739825,0.0561942541322831,0.0228535313425849,0.0162189110312178,0.000548604643903436,1.45112158317246e-08
"Bulgaria",0.546713898625965,0.242553744765624,0.000210448703828121,0.153930797081289,0.00112791625345376,0.0113223842964009,0.043487463196559,0.000653341922757409,5.15412330533427e-09
"Mexico",0.727665193511731,0.00336931214371142,0.135919603151289,0.0317355919823237,0.0752055838158863,0.011106520211653,0.00257428793342675,0.0124239032089461,4.04103290636437e-09
"Argentina",0.441477942274597,0.026062399868213,0.0432126518543567,0.435866456658813,0.0142619174056393,0.0372455154682965,0.00173509561281023,0.000138020742513615,1.14760122860046e-10
"Turkey",0.589241976376985,0.0504507551888476,0.0120729171740472,0.180578661328399,0.0776756709149039,0.0409094543156244,0.025888264155151,0.0231822976287788,2.91726279335899e-09
"Chile",0.784610047980085,0.0521138633290209,0.0146571848116139,0.06925725381169,0.000351952127693815,0.0307856818025476,0.0480282691923784,0.000195742478155555,4.46681504032573e-09
"Serbia",0.467416220842976,0.183500237276721,0.276841533513183,0.00462906419762943,0.0260546959143121,1.58335039799437e-07,0.0142411345649344,0.0273169553379088,1.72951945879189e-11
"India",0.684318353325104,0.265168065483193,0.0154373965678437,0.000694717328221424,0.0169703473499313,2.05346998363798e-05,0.0143514913115647,0.00303909270536489,1.22894011745822e-09
"Malaysia",0.607564746096014,0.0785675426611467,0.0600620119166485,0.020007681191374,0.054105748992523,0.163715818779316,0.01596628055349,1.01696310910386e-05,1.78396544800141e-10
"Indonesia",0.715302293276388,0.0889914943048578,0.0489721326047464,0.000624542605899044,0.00654742812372785,0.0676854579310167,0.0269525997951242,0.0449240507464917,6.11748264404533e-10
