"","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9"
"Denmark",1.59943565158383,0.338515147765635,-0.0807858598229568,0.394744501964838,0.625682904404083,0.176788364847392,-0.400210517518982,-0.764453036298837,-0.0387729210597179
"Finland",1.41642028529064,-0.576400100638563,-0.0564017510306519,0.948695271222506,-0.112259047364025,-0.60490742571975,1.90584001147038,-0.252214137239092,1.27481575206198
"Germany",1.24962425988992,0.21526170365471,0.431095579368731,0.122596107146778,0.608694405020898,-0.36270207884712,0.0920269564715099,1.84745949221556,1.14221997708548
"Austria",1.423463191214,0.442182835917785,-0.763765620307279,0.415291491501351,1.13735025530546,-0.914111026839417,-0.105856789203733,-0.317701991209731,-0.514726446304094
"Netherlands",1.31135974331893,0.0658670089792031,0.403807266184311,-0.423631850869068,1.3134639063692,-0.404000937166838,0.49753693564507,-0.422052634818756,-1.36954732040455
"Switzerland",1.97664613390977,-0.118416444310875,-0.565262829924853,0.0571221247807338,-1.71766066191775,1.35440660758533,-2.06465159063963,-1.62538160867197,1.56328229167657
"New Zealand",1.07785162202117,0.768031810031391,0.755627939255516,-0.588652950462615,-0.329031116203653,0.519659579556188,0.902270844394637,-0.296607801150017,0.378724836120752
"Australia",1.11549671982813,-0.0542318683614891,0.971953454429063,-0.709075320098341,-0.35872186279685,0.131865071359284,0.627438580211312,1.06595636106376,-1.02222658209292
"United States",0.812038447220061,-0.117992640196723,2.08149829919086,0.435396483945975,-0.513557721048164,0.127273482287781,0.31145232968093,1.01478685542938,-0.198434407348069
"Slovenia",0.577484724341639,1.22766468882928,-0.472464319947644,1.33261900081225,0.61297780113167,-0.358075061770602,0.59146157030561,-0.178846474156955,-0.0269968222132385
"Spain",0.57977534380578,0.564235038977672,0.116773500016292,-0.291521323824025,1.63720617903399,-0.0924329003007093,0.275976106553771,0.200131302593306,-0.156533613480438
"Sweden",0.762636591288596,0.445416632630213,0.131315457265464,-0.160950380624186,-1.86322625751747,-1.57450606459826,-0.0734114312637027,1.58341327327153,0.061062574275029
"Portugal",0.202879907575289,1.46844799279284,-0.182290967896026,-0.327811071946395,0.889902745024763,-0.17862882638917,1.12372349018381,-0.20610750634761,0.307446149829147
"Norway",1.17835733860599,0.094439399334471,0.453892149473832,-0.274415169425385,-1.88570897956386,-1.21727857885915,-0.813108662450067,-1.99360984267487,0.0509734833939813
"Canada",0.549690624868786,-0.77937077196636,0.822826952279838,0.940894847506878,-0.749681699864667,-0.855059470219406,1.19175261969953,-0.142571567631527,0.83109714034325
"United Kingdom",0.476120507214806,-0.012833313712327,0.129131447124229,-0.935410058259621,-0.239229195154117,-0.0299445435627161,-0.045630323839805,1.36568151114391,-1.70659995456505
"Japan",0.623665926010865,-1.684360701596,-0.925157813356592,-1.58873201958434,0.512113440180954,1.50804434820544,1.32004170386931,-0.565191239474522,-1.36284236985603
"Croatia",0.0772144188845282,1.38884387981773,-0.846882293072399,0.395823100835357,0.564419502559395,-0.0147033294293282,0.787978275789849,-0.158595231482018,1.84731966564275
"France",0.50537989589482,0.00187237050782975,0.572802403047282,-1.18761708950111,0.104193548735749,-0.45578428714206,-0.674269433054733,0.207995156990125,-1.18717232992979
"Czech Republic",0.0805473289362462,0.379316623992594,-0.794240829020584,0.00690645079621049,1.39118964217554,-1.13880039517375,0.298334661628181,0.68824730192184,1.29269011999591
"Ireland",0.170658995044785,0.727908511102614,1.0278179091124,0.184945771039179,-2.04532421201692,2.32950951602385,1.06357696506572,0.036933411611337,-1.53955139923833
"Taiwan",0.30138255360293,-1.26483833707677,-1.24973239238314,-0.650827262713894,1.85738076655255,0.141720501500403,-1.52938033893724,1.37395221000225,0.147748353346208
"Belgium",0.320666210155098,-0.150403922077077,0.755313105858318,-0.973084340090971,0.707600223867416,-0.479144969062477,-1.20489215196692,-1.56878335101178,1.11940054199783
"Slovakia",-0.361496206825307,0.602832603638326,-0.430301091121213,0.563131237530153,0.482681112595164,0.329374971839107,0.91991925163284,-0.292912279274895,-1.26926329056611
"South Korea",0.290645828308876,-1.31859089290787,-1.05867863372722,-0.789080038648691,0.299435459318886,-0.942791464871243,-1.37116013509768,0.18658389672386,-1.33728931205088
"Israel",0.21457079432155,-0.563076086691729,-0.715131453735582,-1.15731908364931,0.285716979011188,1.24026993244859,-2.30853786461941,0.531062215848632,-0.168919717649527
"Poland",-0.547276205364027,0.335423556636555,-0.359201304336018,0.700208823864812,0.737180368065023,0.574045250116528,0.411943222697665,0.58648569474871,0.180978411565872
"United Arab Emirates",0.0126102839753729,-2.2388717910652,0.291477355375643,2.7457753861352,-0.052902917863589,0.462242158266453,-0.339082287119318,-1.29463085616124,-0.560160673293589
"Saudi Arabia",-0.325307328916786,-1.90554636116211,1.24392818164446,3.00410122020306,0.791487017918583,0.732728305115442,-1.58475623893974,1.08731533736448,-0.364579548161042
"Lithuania",-0.353361229098906,1.06197540005097,-1.2289991092293,0.600224605003722,-0.587121162442313,-2.17561304966083,-0.142183244188585,0.135605235226996,-0.334570477067042
"Romania",-0.786861059717711,0.820579498116062,-0.329838866905139,1.43901108591118,0.476457659860752,1.20804948055491,0.5177022456341,0.291263286204323,1.21526317275436
"Singapore",-0.0429678762001584,-2.33379781732523,-2.9364986581061,-0.559587156539047,-2.31980290187175,0.910873196762275,1.6585356106024,1.1652980978224,0.893835120544786
